x_km,y_km,z_km,tsec
-5189.642218311146,2777.254053438408,3918.462327571027,0.0
-5191.366940721435,2714.610721082969,3959.8709662090455,10.0
-5192.506387201505,2651.6613428722017,4000.8331680652554,20.0
-5193.060431333137,2588.413016776893,4041.3443166259203,30.0
-5193.029012866045,2524.872874505801,4081.399846392642,40.0
-5192.4121377237425,2461.0480806949445,4120.995243400257,50.0
-5191.209878001774,2396.9458320931494,4160.126045728795,60.0
-5189.4223719583915,2332.573356743929,4198.787844009457,70.0
-5187.0498239976105,2267.9379131638084,4236.9762819245325,80.0
-5184.092504644687,2203.046789517176,4274.687056701222,90.0
-5180.55075051402,2137.907302787781,4311.915919599297,100.0
-5176.424964269447,2072.526797946941,4348.658676392521,110.0
-5171.715614576996,2006.91264711859,4384.911187843822,120.0
-5166.423236050032,1941.0722487412452,4420.6693701741115,130.0
-5160.548429186876,1875.0130267269979,4455.929195524732,140.0
-5154.091860300841,1808.742429617624,4490.6866924134565,150.0
-5147.054261442741,1742.2679297379157,4524.9379461840035,160.0
-5139.436430315851,1675.5970223463346,4558.679099449005,170.0
-5131.239230183355,1608.7372247830808,4591.906352526384,180.0
-5122.46358976827,1541.6960756156857,4624.61596386908,190.0
-5113.110503145875,1474.4811337822189,4656.804250488091,200.0
-5103.181029628649,1407.0999777322172,4688.467588368765,210.0
-5092.676293643742,1339.560204565437,4719.602412880303,220.0
-5081.597484602987,1271.8694291685235,4750.205219178425,230.0
-5069.945856765461,1204.0352833497054,4780.27256260116,240.0
-5057.722729092638,1136.065414971611,4809.801059057687,250.0
-5044.929485096128,1067.9674870823158,4838.787385410231,260.0
-5031.567572678023,999.7491770447103,4867.2282798489205,270.0
-5017.638503963891,931.4181756643,4895.120542259592,280.0
-5003.143855128406,862.9821863155398,4922.461034584504,290.0
-4988.085266213669,794.4489240667963,4949.246681175884,300.0
-4972.4644409402135,725.8261148040509,4975.474469142328,310.0
-4956.283146510738,657.121494353438,5001.141448687948,320.0
-4939.543213406587,588.342807602728,5026.244733444271,330.0
-4922.246535176994,519.4978076218528,5050.781500794857,340.0
-4904.395068221125,450.5942547825719,5074.74899219255,350.0
-4885.990831562942,381.63991587739866,5098.144513469392,360.0
-4867.035906618928,312.64256323786987,5120.965435139119,370.0
-4847.532436958668,243.6099738522757,5143.209192692214,380.0
-4827.482628058367,174.54992848294594,5164.873286883504,390.0
-4806.888747047276,105.4702107831949,5185.955284012244,400.0
-4785.753122447124,36.378606414036085,5206.452816194674,410.0
-4764.078143904505,-32.71709783924264,5226.3635816290025,420.0
-4741.866261916351,-101.8091149505262,5245.685344852814,430.0
