x_km,y_km,z_km,tsec
-5189.642218311146,2777.254053438408,3918.462327571027,0.0
-5191.364331256591,2714.601944375363,3959.8676423305897,10.0
-5192.501166793746,2651.643789523338,4000.8265193289653,20.0
-5193.052597052098,2588.3866869722706,4041.3343410678203,30.0
-5193.018560358081,2524.837768607068,4081.3865410597414,40.0
-5192.399061241887,2461.0041992962115,4120.978604347523,50.0
-5191.194170436613,2396.8931760765654,4160.10606801752,60.0
-5189.404024869829,2332.5119273344976,4198.764521706996,70.0
-5187.02882764751,2267.8677119834,4236.949608105428,80.0
-5184.068848030344,2202.9678186377064,4274.657023449691,90.0
-5180.52442140244,2137.8195647835123,4311.882518013071,100.0
-5176.395949232416,2072.4302959458855,4348.621896588041,110.0
-5171.6838990268925,2006.8073848529732,4384.871018962768,120.0
-5166.388804276373,1940.9582305969966,4420.625800391258,130.0
-5160.511264393549,1874.8902577922388,4455.8822120571185,140.0
-5154.051944644003,1808.6109157301232,4490.636281530859,150.0
-5147.01157606935,1742.127677531479,4524.884093220698,160.0
-5139.390955402801,1675.4480392960998,4558.621788816799,170.0
-5131.19094497719,1608.5795192496873,4591.84556772891,180.0
-5122.412472625425,1541.5296568882911,4624.551687517336,190.0
-5113.056531573439,1474.3060121203366,4656.736464317198,200.0
-5103.124180325604,1406.9161644063443,4688.39627325594,210.0
-5092.616542542649,1339.3677118964483,4719.527548864028,220.0
-5081.534806912077,1271.6682705658066,4750.126785478783,230.0
-5069.88022701113,1203.82547334801,4780.19053764132,240.0
-5057.654121162275,1135.8469692665917,4809.715420486538,250.0
-5044.857872281261,1067.7404225647401,4838.698110126116,260.0
-5031.492927717767,999.5135118333135,4867.1353440244675,270.0
-5017.5607990886265,931.1739291372662,4895.023921367614,280.0
-5003.063062103699,862.7293791405857,4922.360703424949,290.0
-4988.001356384361,794.1875782298366,4949.142613903809,300.0
-4972.377385274679,725.5562536364334,4975.366639296873,310.0
-4956.192915645259,656.8431425577221,5001.02982922228,320.0
-4939.449777689813,588.0559912769937,5026.129296756501,330.0
-4922.149864714464,519.2025542825228,5050.662218759855,340.0
-4904.295132919805,450.2905933857326,5074.625836194684,350.0
-4885.887601175768,381.32787683860573,5098.017454436129,360.0
-4866.9293507892835,312.3221784504233,5120.834443575473,370.0
-4847.422525264806,243.2812767039489,5143.07423871602,380.0
-4827.369330057715,174.21295387116584,5164.734340261481,390.0
-4806.772032320606,105.12499512865494,5185.812314196814,400.0
-4785.632960642536,36.0251876727336,5206.305792361528,410.0
-4763.95450478123,-33.07868016555078,5226.21247271536,420.0
-4741.7391153882845,-102.17881980546278,5245.530119596359,430.0
-4718.989303727424,-171.2674433015584,5264.256563971314,440.0
-4695.707641385807,-240.33676422848876,5282.3897036784765,450.0
-4671.896759978446,-309.37899856554094,5299.927503662618,460.0
-4647.55935084578,-378.3863655807887,5316.867996202322,470.0
-4622.698164744404,-447.35108871477576,5333.209281129543,480.0
-4597.316011531032,-516.2653964636038,5348.949526041369,490.0
-4571.415759839715,-585.1215232613388,5364.086966503986,500.0
-4545.00033675234,-653.9117103616322,5378.619906248827,510.0
-4518.072727462477,-722.6282067184366,5392.546717360856,520.0
-4490.635974932596,-791.2632698657285,5405.8658404590005,530.0
-4462.693179544703,-859.8091667961476,5418.5757848686935,540.0
-4434.247498744438,-928.2581748384063,5430.6751287865145,550.0
-4405.302146678678,-996.6025825334187,5442.162519436899,560.0
-4375.860393826672,-1064.8346905090164,5453.036673220926,570.0
-4345.925566624803,-1132.9468123531497,5463.296375857147,580.0
-4315.501047084944,-1200.9312754854882,5472.940482514441,590.0
-4284.590272406537,-1268.7804220273047,5481.967917936904,600.0
-4253.196734582384,-1336.486609669555,5490.377676560737,610.0
-4221.323979998226,-1404.0422125390292,5498.168822623131,620.0
-4188.975609026136,-1471.4396220625026,5505.340490263137,630.0
-4156.155275611815,-1538.6712478287743,5511.891883614524,640.0
-4122.866686855789,-1605.7295184484808,5517.8222768905935,650.0
-4089.1136025886085,-1672.6068824116014,5523.131014460956,660.0
-4054.8998349400504,-1739.2958089425529,5527.817510920266,670.0
-4020.229247902433,-1805.7887888527757,5531.881251148911,680.0
-3985.105756888043,-1872.0783353906945,5535.321790365634,690.0
-3949.5333282807555,-1938.15698508899,5538.138754172103,700.0
-3913.5159789819077,-2004.0172986090515,5540.331838589422,710.0
-3877.0577759504513,-2069.651861582531,5541.90081008657,720.0
-3840.1628357374766,-2135.053285449892,5542.845505600792,730.0
-3802.8353240151273,-2200.214208295867,5543.165832549907,740.0
-3765.079455099999,-2265.1272956817193,5542.86176883657,750.0
-3726.899491471042,-2329.7852414742124,5541.933362844469,760.0
-3688.299743282065,-2394.1807686712023,5540.3807334264675,770.0
-3649.2845678688564,-2458.306630223742,5538.204069884688,780.0
-3609.8583692510265,-2522.155609854618,5535.403631942559,790.0
-3570.025597628586,-2585.7205228732228,5531.979749708815,800.0
-3529.790748873367,-2648.994216986656,5527.932823633468,810.0
-3489.1583640152976,-2711.9695731069914,5523.263324455744,820.0
-3448.133028723644,-2774.639506154573,5517.971793144017,830.0
-3406.719372783237,-2836.9969658572973,5512.05884082773,840.0
-3364.9220695657687,-2899.034937545757,5505.525148721308,850.0
-3322.7458354962296,-2960.7464429441675,5498.371468040123,860.0
-3280.19542951452,-3022.124540956982,5490.598619908441,870.0
-3237.2756525323357,-3083.1623284511124,5482.207495259453,880.0
-3193.9913468853615,-3143.8529410336673,5473.199054727343,890.0
-3150.3473957808674,-3204.189553825107,5463.5743285314375,900.0
-3106.348722740738,-3264.165382227734,5453.334416352435,910.0
-3062.000291040042,-3323.7736826894493,5442.480487200757,920.0
-3017.3071031411705,-3383.007753462655,5431.013779277021,930.0
-2972.2742001236384,-3441.860935358246,5418.935599824648,940.0
-2926.906661109603,-3500.326612494593,5406.247324974654,950.0
-2881.209602685174,-3558.398213041428,5392.950399582613,960.0
-2835.1881783175722,-3616.0692099585717,5379.046337057839,970.0
-2788.8475777682297,-3673.333121729383,5364.536719184798,980.0
-2742.193026501873,-3730.183513088882,5349.423195936774,990.0
-2695.229785091674,-3786.6139957464443,5333.707485281812,1000.0
-2647.963148620543,-3842.6182291030013,5317.3913729809765,1010.0
-2600.3984460786237,-3898.189920962646,5300.476712378943,1020.0
-2552.541039757065,-3953.3228282385894,5282.965424186943,1030.0
-2504.3963246381395,-4008.0107576533655,5264.859496258095,1040.0
-2455.9697277817936,-4062.2475664332233,5246.160983355172,1050.0
-2407.2667077086776,-4116.027162996618,5226.8720069107985,1060.0
-2358.292753779744,-4169.343507636739,5206.9947547801285,1070.0
-2309.053385572494,-4222.190613197978,5186.531480986057,1080.0
-2259.554152253918,-4274.562545746279,5165.48450545694,1090.0
-2209.800631950239,-4326.453425233297,5143.856213756916,1100.0
-2159.7984311134956,-4377.857426154275,5121.649056808837,1110.0
-2109.553183885075,-4428.7687781995855,5098.865550609837,1120.0
-2059.070551456243,-4479.181766899853,5075.508275939587,1130.0
-2008.356221425755,-4529.090734264597,5051.57987806128,1140.0
-1957.4159071546296,-4578.49007941431,5027.083066415353,1150.0
-1906.2553471181477,-4627.374259205918,5002.020614306019,1160.0
-1854.8803042551633,-4675.73778885154,4976.395358580636,1170.0
-1803.2965653147903,-4723.575242530501,4950.210199301937,1180.0
-1751.5099402005605,-4770.881253994489,4923.468099413192,1190.0
-1699.5262613120972,-4817.650517165861,4896.172084396314,1200.0
-1647.3513828844193,-4863.877786728945,4868.325241922975,1210.0
-1594.991180324924,-4909.557878714343,4839.930721498757,1220.0
-1542.4515495481305,-4954.685671076155,4810.991734100397,1230.0
-1489.7384063082688,-4999.256104262036,4781.511551806157,1240.0
-1436.8576855297952,-5043.264181776044,4751.493507419377,1250.0
-1383.8153406358836,-5086.704970734243,4720.940994085251,1260.0
-1330.6173428750103,-5129.573602412942,4689.857464900865,1270.0
-1277.2696806456772,-5171.86527278956,4658.246432518564,1280.0
-1223.7783588193668,-5213.575243076052,4626.111468742679,1290.0
-1170.1493980618081,-5254.698840244821,4593.456204119672,1300.0
-1116.3888341526183,-5295.231457547066,4560.2843275217465,1310.0
-1062.5027173034075,-5335.168555023528,4526.599585723967,1320.0
-1008.4971114744397,-5374.505660007552,4492.405782974962,1330.0
-954.3780936898855,-5413.238367620443,4457.706780561226,1340.0
-900.1517533517936,-5451.362341259031,4422.506496365106,1350.0
-845.8241915528365,-5488.873313075418,4386.808904416513,1360.0
-791.4015203878905,-5525.767084448849,4350.618034438399,1370.0
-736.8898622645739,-5562.039526449655,4313.937971386092,1380.0
-682.2953492127804,-5597.686580295215,4276.772854980492,1390.0
-627.6241221933046,-5632.704257797913,4239.126879235228,1400.0
-572.8823304056401,-5667.088641805005,4201.00429197782,1410.0
-518.0761305950232,-5700.835886630384,4162.4093943648795,1420.0
-463.2116863587942,-5733.942218478188,4123.346540391449,1430.0
-408.2951674521807,-5766.4039358581895,4083.820136394497,1440.0
-353.3327490935436,-5798.217409992963,4043.8346405506622,1450.0
-298.33061126919415,-5829.379085216746,4003.3945623682735,1460.0
-243.29493803786352,-5859.885479365974,3962.504462173745,1470.0
-188.23191683486044,-5889.73318416146,3921.168950592359,1480.0
-133.14773777605447,-5918.9188655821545,3879.392688023544,1490.0
-78.04859296173015,-5947.439264230466,3837.180384110688,1500.0
-22.940675780373418,-5975.291195689102,3794.536797205535,1510.0
32.169819787479796,-6002.471550869388,3751.466733827262,1520.0
87.27669986529976,-6028.977296351037,3707.975048116278,1530.0
142.37377137643668,-6054.805474713341,3664.0666412828014,1540.0
197.4548427397113,-6079.9532048577275,3619.7464610503093,1550.0
252.51372456467305,-6104.4176823216785,3575.0195010938914,1560.0
